Comment,Designator,Footprint,LCSC
STM32F401CBUx,U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,C118825
100n,"C1,C13,C2",C_0603_1608Metric,C14663
JST,J2,JST-SR-4,C160404
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-Assembly,C165948
1k,R23,R_0603_1608Metric,C21190
330,R1,R_0603_1608Metric,C23138
4.7u,C3,C_0402_1005Metric,C23733
100,"R10,R32,R33,R4,R5,R7,R8,R9",R_0402_1005Metric,C25076
100k,"R14,R15,R16,R17,R18,R19,R20,R21,R24,R25,R26,R27,R28,R29,R30,R31,R6",R_0402_1005Metric,C25741
10k,"R11,R12,R13",R_0402_1005Metric,C25744
100k,R22,R_0603_1608Metric,C25803
5.1k,"R2,R3",R_0402_1005Metric,C25905
JST,J1,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,C265068
PRTR5V0U2X,D1,SOT-143,C2827688
100n,"C10,C12,C15,C6,C7,C8,C9",C_0402_1005Metric,C307331
8 MHz,Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,C341525
ME6206A33M3G,U3,SOT-23,C35259
CD74HC4051PWR,"U4,U6",TSSOP16,C352826
220p,C14,C_0603_1608Metric,C519500
1u,"C11,C4,C5",C_0402_1005Metric,C52923
500mA,F1,Fuse_1206_3216Metric,C70076
OPA340NA,U5,SOT-23-5,C73479
SN74AHCT1G125,U2,SOT-23-5,C7484
"220 @ 100MHz, 2A",L1,L_0603_1608Metric,C85832
